title,en_title,source
,,
Comic Scene at Kameido Shrine,Comic Scene at Kameido Shrine,Edo Tokyo Museum
,,
Shiba Bridge,Shiba Bridge,Edo Tokyo Museum
"Sanoyama Temple, Ueno","Sanoyama Temple, Ueno",Edo Tokyo Museum
Snowball Fight at Shinobazu Pond,Snowball Fight at Shinobazu Pond,Edo Tokyo Museum
Fight,Fight,Edo Tokyo Museum
,,
,,
,,
さる若町,,Edo Tokyo Museum
Sumida River ,Sumida River ,Edo Tokyo Museum
The Exposition at Motoshohezaka,The Exposition at Motoshohezaka,Edo Tokyo Museum
Cram Gathering,Cram Gathering,Edo Tokyo Museum
Shin Yoshiwara,Shin Yoshiwara,
Public Bath,Public Bath,Edo Tokyo Museum
Comic Scene at Yanagibashi,Comic Scene at Yanagibashi,Edo Tokyo Museum
Comic Scene at Yanagihara,Comic Scene at Yanagihara,Edo Tokyo Museum
Kanda Myojin Shrine,Kanda Myojin Shrine,Edo Tokyo Museum
Sumidagawa,Sumidagawa,Edo Tokyo Museum
Kudanzaka Hill,Kudanzaka Hill,Edo Tokyo Museum
,,
,,
Drunk in Shinagawa,Drunk in Shinagawa,Edo Tokyo Museum
つきし海軍所,,Edo Tokyo Museum
Plum Garden at Kameido,Plum Garden at Kameido,Edo Tokyo Museum
,,
Higurashi no sato (Nippori),Higurashi no sato (Nippori),Edo Tokyo Museum
Barking Dog and Beef Flag,Barking Dog and Beef Flag,Edo Tokyo Museum
Fireworks at Ryogoku Bridge,Fireworks at Ryogoku Bridge,Edo Tokyo Museum
,,
,,
"Shin Waterfall, Tsunomori Hill, ","Shin Waterfall, Tsunomori Hill, ",Edo Tokyo Museum
,,
Western Restaurant,Western Restaurant,Edo Tokyo Museum
Shiba Zojoji,Shiba Zojoji,Edo Tokyo Museum
