title,en_title,source
三谷堀今戸はし夕立,,Tokyo Metropolitan Library
不忍弁天はす取,,Tokyo Metropolitan Library
中の郷枕はし,,Tokyo Metropolitan Library
堀切しよふ婦五月雨,,Tokyo Metropolitan Library
柳原写真所三階より御茶の水遠景,,Tokyo Metropolitan Library
浅草酉の市,,Tokyo Metropolitan Library
神田明神社内年の市,,Tokyo Metropolitan Library
亀井戸天神,,Tokyo Metropolitan Library
洲崎乃汐干,,Tokyo Metropolitan Library
大川はた百本杭,,Tokyo Metropolitan Library
本所割下水,,Tokyo Metropolitan Library
築地ホテル館,,Tokyo Metropolitan Library
目黒不動乃滝,,Tokyo Metropolitan Library
関口目しろ不動,,Tokyo Metropolitan Library
Kyobashi,,Mie Gallery
芝口はし,,Tokyo Metropolitan Library
The Sankotei Garden at Mukojima,,Mie Gallery
