title,en_title,source,description,date,numbers,tag
違式の罪を,,山星書店 浮世絵,,1873,1 and 2,
違式註違の罪,,山星書店 浮世絵,,1873,3,
違式註違の罪,,山星書店 浮世絵,,1873,"4,5 and 6",2
腐敗の飲食物販売禁止,,山星書店 浮世絵,,1873,7,
勝手に道に家を張り出す,,山星書店 浮世絵,,1873,8,
,,山星書店 浮世絵,,1873,,
病死牛の販売禁止など,,山星書店 浮世絵,,1873,10 and 29,
,,山星書店 浮世絵,,1873,,
裸体を醜態すね者,,山星書店 浮世絵,,1873,12 and 22,
乗馬　馬車で触れ倒す事,,山星書店 浮世絵,,1873,13,
猫がいる　外国人を宿す,,山星書店 浮世絵,,1873,14 and 15,
普請造営と巨大の紙たこ禁止,,山星書店 浮世絵,,1873,16 and 54,
灯火へのいたずら,,山星書店 浮世絵,,1873,17 and 21,
,,山星書店 浮世絵,,1873,,
,,山星書店 浮世絵,,1873,,
,,山星書店 浮世絵,,1873,,
馬 車留め侵入禁止,,山星書店 浮世絵,,1873,20 and 23,
無検印の舟,,山星書店 浮世絵,,1873,24,
醜態の禁止,,山星書店 浮世絵,,1873,25 and 26,
ゴミ捨てなど禁止,,山星書店 浮世絵,,1873,27 and 28,
,,山星書店 浮世絵,,1873,,
無燈灯の禁止,,山星書店 浮世絵,,1873,31,
馬車と人力車の指導,,山星書店 浮世絵,,1873,32 and 33,
他人の果物を取らない,,山星書店 浮世絵,,1873,34,
喧嘩と行人の妨げ禁止,,山星書店 浮世絵,,1873,35 and 44,
湯屋渡世　禽獣を棄てない,,山星書店 浮世絵,,1873,36 and 37,
居宅前の掃除　行人に注意,,山星書店 浮世絵,,1873,38 and 40,
婦人の断髪　蓋ない桶,,山星書店 浮世絵,,1873,39 and 41,
宿は渡世者の記載を,,山星書店 浮世絵,,1873,42,
号札を破る事　小便の禁止,,山星書店 浮世絵,,1873,43 and 49,
常燈を消さない事,,山星書店 浮世絵,,1873,45,
石などを投げない事,,山星書店 浮世絵,,1873,46,
牛馬の長綱など,,山星書店 浮世絵,,1873,47 and 57,
電信線の妨害,,山星書店 浮世絵,,1873,48,
小便と牛馬の事,,山星書店 浮世絵,,1873,50 and 52,
荷車など平行禁止,,山星書店 浮世絵,,1873,51,
犬の闘い,,山星書店 浮世絵,,1873,53,
酒に酔って往来を妨げる,,山星書店 浮世絵,,1873,55,
格子から往来人をからかう,,山星書店 浮世絵,,1873,56,
